OCC Code,Occupation Title,Major Category,
000N,N/A (not applicable),N/A,
2025,Other community and social service specialists,Education Legal Arts and Media,
2040,Clergy,Education Legal Arts and Media,
2050,"Directors, religious activities and education",Education Legal Arts and Media,
2060,"Religious workers, all other",Education Legal Arts and Media,
2100,"Lawyers, and judges, magistrates, and other judicial workers",Education Legal Arts and Media,
2105,Judicial law clerks,Education Legal Arts and Media,
2145,Paralegals and legal assistants,Education Legal Arts and Media,
2170,"Title examiners, abstractors, and searchers",Education Legal Arts and Media,
2180,"Legal support workers, all other",Education Legal Arts and Media,
2205,Postsecondary teachers,Education Legal Arts and Media,
2300,Preschool and kindergarten teachers,Education Legal Arts and Media,
2310,Elementary and middle school teachers,Education Legal Arts and Media,
2320,Secondary school teachers,Education Legal Arts and Media,
2330,Special education teachers,Education Legal Arts and Media,
2350,Tutors,Education Legal Arts and Media,
2360,Other teachers and instructors,Education Legal Arts and Media,
2400,"Archivists, curators, and museum technicians",Education Legal Arts and Media,
2435,Librarians and media collections specialists,Education Legal Arts and Media,
2440,Library technicians,Education Legal Arts and Media,
2545,Teaching assistants,Education Legal Arts and Media,
2555,Other educational instruction and library workers,Education Legal Arts and Media,
2600,Artists and related workers,Education Legal Arts and Media,
2631,Commercial and industrial designers,Education Legal Arts and Media,
2632,Fashion designers,Education Legal Arts and Media,
2633,Floral designers,Education Legal Arts and Media,
2634,Graphic designers,Education Legal Arts and Media,
2635,Interior designers,Education Legal Arts and Media,
2636,Merchandise displayers and window trimmers,Education Legal Arts and Media,
2640,Other designers,Education Legal Arts and Media,
2700,Actors,Education Legal Arts and Media,
2710,Producers and directors,Education Legal Arts and Media,
2721,Athletes and sports competitors,Education Legal Arts and Media,
2722,Coaches and scouts,Education Legal Arts and Media,
2723,"Umpires, referees, and other sports officials",Education Legal Arts and Media,
2740,Dancers and choreographers,Education Legal Arts and Media,
2751,Music directors and composers,Education Legal Arts and Media,
2752,Musicians and singers,Education Legal Arts and Media,
2755,Disc jockeys, except radio,Education Legal Arts and Media
2770,"Entertainers and performers, sports and related workers, all other",Education Legal Arts and Media,
2805,Broadcast announcers and radio disc jockeys,Education Legal Arts and Media,
2810,"News analysts, reporters, and journalists",Education Legal Arts and Media,
2825,Public relations specialists,Education Legal Arts and Media,
2830,Editors,Education Legal Arts and Media,
2840,Technical writers,Education Legal Arts and Media,
2850,Writers and authors,Education Legal Arts and Media,
2861,Interpreters and translators,Education Legal Arts and Media,
2862,Court reporters and simultaneous captioners,Education Legal Arts and Media,
2865,"Media and communication workers, all other",Education Legal Arts and Media,
2905,Other media and communication equipment workers,Education Legal Arts and Media,
2910,Photographers,Education Legal Arts and Media,
2920,"Television, video, and film camera operators and editors",Education Legal Arts and Media,
3000,Chiropractors,Healthcare Practitioners and Technical,
3010,Dentists,Healthcare Practitioners and Technical,
3030,Dietitians and nutritionists,Healthcare Practitioners and Technical,
3040,Optometrists,Healthcare Practitioners and Technical,
3050,Pharmacists,Healthcare Practitioners and Technical,
3090,Physicians,Healthcare Practitioners and Technical,
3100,Surgeons,Healthcare Practitioners and Technical,
3110,Physician assistants,Healthcare Practitioners and Technical,
3120,Podiatrists,Healthcare Practitioners and Technical,
3140,Audiologists,Healthcare Practitioners and Technical,
3150,Occupational therapists,Healthcare Practitioners and Technical,
3160,Physical therapists,Healthcare Practitioners and Technical,
3200,Radiation therapists,Healthcare Practitioners and Technical,
3210,Recreational therapists,Healthcare Practitioners and Technical,
3220,Respiratory therapists,Healthcare Practitioners and Technical,
3230,Speech-language pathologists,Healthcare Practitioners and Technical,
3245,Other therapists,Healthcare Practitioners and Technical,
3250,Veterinarians,Healthcare Practitioners and Technical,
3255,Registered nurses,Healthcare Practitioners and Technical,
3256,Nurse anesthetists,Healthcare Practitioners and Technical,
3258,"Nurse practitioners, and nurse midwives",Healthcare Practitioners and Technical,
3261,Acupuncturists,Healthcare Practitioners and Technical,
3270,"Healthcare diagnosing or treating practitioners, all other",Healthcare Practitioners and Technical,
3300,Clinical laboratory technologists and technicians,Healthcare Practitioners and Technical,
3310,Dental hygienists,Healthcare Practitioners and Technical,
3321,Cardiovascular technologists and technicians,Healthcare Practitioners and Technical,
3322,Diagnostic medical sonographers,Healthcare Practitioners and Technical,
3323,Radiologic technologists and technicians,Healthcare Practitioners and Technical,
3324,Magnetic resonance imaging technologists,Healthcare Practitioners and Technical,
3330,Nuclear medicine technologists and medical dosimetrists,Healthcare Practitioners and Technical,
3401,Emergency medical technicians,Healthcare Practitioners and Technical,
3402,Paramedics,Healthcare Practitioners and Technical,
3421,Pharmacy technicians,Healthcare Practitioners and Technical,
3422,Psychiatric technicians,Healthcare Practitioners and Technical,
3423,Surgical technologists,Healthcare Practitioners and Technical,
3424,Veterinary technologists and technicians,Healthcare Practitioners and Technical,
3430,Dietetic technicians and ophthalmic medical technicians,Healthcare Practitioners and Technical,
3500,Licensed practical and licensed vocational nurses,Healthcare Practitioners and Technical,
3515,Medical records specialists,Healthcare Practitioners and Technical,
3520,"Opticians, dispensing",Healthcare Practitioners and Technical,
3545,Miscellaneous health technologists and technicians,Healthcare Practitioners and Technical,
3550,Other healthcare practitioners and technical occupations,Healthcare Practitioners and Technical,
3601,Home health aides,Service Occupations,
3602,Personal care aides,Service Occupations,
3603,Nursing assistants,Service Occupations,
3605,Orderlies and psychiatric aides,Service Occupations,
3610,Occupational therapy assistants and aides,Service Occupations,
3620,Physical therapist assistants and aides,Service Occupations,
3630,Massage therapists,Service Occupations,
3640,Dental assistants,Service Occupations,
3645,Medical assistants,Service Occupations,
3646,Medical transcriptionists,Service Occupations,
3647,Pharmacy aides,Service Occupations,
3648,Veterinary assistants and laboratory animal caretakers,Service Occupations,
3649,Phlebotomists,Service Occupations,
3655,Other healthcare support workers,Service Occupations,
3700,First-line supervisors of correctional officers,Service Occupations,
3710,First-line supervisors of police and detectives,Service Occupations,
3720,First-line supervisors of firefighting and prevention workers,Service Occupations,
3725,Miscellaneous first-line supervisors protective service workers,Service Occupations,
3740,Firefighters,Service Occupations,
3750,Fire inspectors,Service Occupations,
3801,Bailiffs,Service Occupations,
3802,Correctional officers and jailers,Service Occupations,
3820,Detectives and criminal investigators,Service Occupations,
3840,Fish and game wardens and parking enforcement officers,Service Occupations,
3870,Police officers,Service Occupations,
3900,Animal control workers,Service Occupations,
3910,Private detectives and investigators,Service Occupations,
3930,Security guards and gaming surveillance officers,Service Occupations,
3940,Crossing guards and flaggers,Service Occupations,
3945,Transportation security screeners,Service Occupations,
3946,School bus monitors,Service Occupations,
3960,Other protective service workers,Service Occupations,
4000,Chefs and head cooks,Service Occupations,
4010,First-line supervisors of food preparation and serving workers,Service Occupations,
4020,Cooks,Service Occupations,
4030,Food preparation workers,Service Occupations,
4040,Bartenders,Service Occupations,
4055,Fast food and counter workers,Service Occupations,
4110,Waiters and waitresses,Service Occupations,
4120,"Food servers, nonrestaurant",Service Occupations,
4130,Dining room and cafeteria attendants and bartender helpers,Service Occupations,
4140,Dishwashers,Service Occupations,
4150,"Hosts and hostesses, restaurant, lounge, and coffee shop",Service Occupations,
4160,"Food preparation and serving related workers, all other",Service Occupations,
4200,First-line supervisors of housekeeping and janitorial workers,Service Occupations,
4210,First-line supervisors of landscaping and groundskeeping workers,Service Occupations,
4220,Janitors and building cleaners,Service Occupations,
4230,Maids and housekeeping cleaners,Service Occupations,
4240,Pest control workers,Service Occupations,
4251,Landscaping and groundskeeping workers,Service Occupations,
4252,Tree trimmers and pruners,Service Occupations,
4255,Other grounds maintenance workers,Service Occupations,
4330,Supervisors of personal care and service workers,Service Occupations,
4340,Animal trainers,Service Occupations,
4350,Animal caretakers,Service Occupations,
4400,Gambling services workers,Service Occupations,
4420,"Ushers, lobby attendants, and ticket takers",Service Occupations,
4435,Other entertainment attendants and related workers,Service Occupations,
4461,"Embalmers, crematory operators, and funeral attendants",Service Occupations,
4465,"Morticians, undertakers, and funeral arrangers",Service Occupations,
4500,Barbers,Service Occupations,
4510,"Hairdressers, hairstylists, and cosmetologists",Service Occupations,
4521,Manicurists and pedicurists,Service Occupations,
4522,Skincare specialists,Service Occupations,
4525,Other personal appearance workers,Service Occupations,
4530,"Baggage porters, bellhops, and concierges",Service Occupations,
4540,Tour and travel guides,Service Occupations,
4600,Childcare workers,Service Occupations,
4621,Exercise trainers and group fitness instructors,Service Occupations,
4622,Recreation workers,Service Occupations,
4640,Residential advisors,Service Occupations,
4655,"Personal care and service workers, all other",Service Occupations,
4700,First-line supervisors of retail sales workers,Sales and Office,
4710,First-line supervisors of non-retail sales workers,Sales and Office,
4720,Cashiers,Sales and Office,
4740,Counter and rental clerks,Sales and Office,
4750,Parts salespersons,Sales and Office,
4760,Retail salespersons,Sales and Office,
4800,Advertising sales agents,Sales and Office,
4810,Insurance sales agents,Sales and Office,
4820,"Securities, commodities, and financial services sales agents",Sales and Office,
4830,Travel agents,Sales and Office,
4840,Sales representatives of services,Sales and Office,
4850,"Sales representatives, wholesale and manufacturing",Sales and Office,
4900,"Models, demonstrators, and product promoters",Sales and Office,
4920,Real estate brokers and sales agents,Sales and Office,
4930,Sales engineers,Sales and Office,
4940,Telemarketers,Sales and Office,
4950,"Door-to-door sales workers, news and street vendors",Sales and Office,
4965,"Sales and related workers, all other",Sales and Office,
5000,First-line supervisors of office and administrative support workers,Sales and Office,
5010,"Switchboard operators, including answering service",Sales and Office,
5020,Telephone operators,Sales and Office,
5040,"Communications equipment operators, all other",Sales and Office,
5100,Bill and account collectors,Sales and Office,
5110,Billing and posting clerks,Sales and Office,
5120,"Bookkeeping, accounting, and auditing clerks",Sales and Office,
5140,Payroll and timekeeping clerks,Sales and Office,
5150,Procurement clerks,Sales and Office,
5160,Tellers,Sales and Office,
5165,Other financial clerks,Sales and Office,
5220,"Court, municipal, and license clerks",Sales and Office,
5230,"Credit authorizers, checkers, and clerks",Sales and Office,
5240,Customer service representatives,Sales and Office,
5250,Eligibility interviewers, government programs,Sales and Office
5260,File clerks,Sales and Office,
5300,"Hotel, motel, and resort desk clerks",Sales and Office,
5310,"Interviewers, except eligibility and loan",Sales and Office,
5320,"Library assistants, clerical",Sales and Office,
5330,Loan interviewers and clerks,Sales and Office,
5340,New accounts clerks,Sales and Office,
5350,Correspondence clerks and order clerks,Sales and Office,
5360,"Human resources assistants, except payroll and timekeeping",Sales and Office,
5400,Receptionists and information clerks,Sales and Office,
5410,Reservation and transportation ticket agents and travel clerks,Sales and Office,
5420,Other information and records clerks,Sales and Office,
5500,Cargo and freight agents,Sales and Office,
5510,Couriers and messengers,Sales and Office,
5521,Public safety telecommunicators,Sales and Office,
5522,"Dispatchers, except police, fire, and ambulance",Sales and Office,
5530,"Meter readers, utilities",Sales and Office,
5540,Postal service clerks,Sales and Office,
5550,Postal service mail carriers,Sales and Office,
5560,Postal service mail sorters and processors,Sales and Office,
5600,"Production, planning, and expediting clerks",Sales and Office,
5610,"Shipping, receiving, and inventory clerks",Sales and Office,
5630,"Weighers, measurers, checkers, and samplers",Sales and Office,
5710,Executive secretaries and administrative assistants,Sales and Office,
5720,Legal secretaries and administrative assistants,Sales and Office,
5730,Medical secretaries and administrative assistants,Sales and Office,
5740,Secretaries and administrative assistants,Sales and Office,
5810,Data entry keyers,Sales and Office,
5820,Word processors and typists,Sales and Office,
5840,Insurance claims and policy processing clerks,Sales and Office,
5850,Mail clerks and mail machine operators,Sales and Office,
5860,"Office clerks, general",Sales and Office,
5900,"Office machine operators, except computer",Sales and Office,
5910,Proofreaders and copy markers,Sales and Office,
5920,Statistical assistants,Sales and Office,
5940,Other office and administrative support workers,Sales and Office,
6005,"First-line supervisors of farming, fishing, and forestry workers",Natural Resources Construction and Maintenance,
